time	V(n003)
4.812848127962140e-002	5.065339e+000
4.822613752962141e-002	5.065317e+000
4.832379377962141e-002	5.065304e+000
4.842145002962141e-002	5.065282e+000
4.851910627962141e-002	5.065269e+000
4.861676252962141e-002	5.065247e+000
4.871441877962141e-002	5.065234e+000
4.881207502962141e-002	5.065212e+000
4.890973127962141e-002	5.065199e+000
4.900738752962142e-002	5.065177e+000
4.910504377962142e-002	5.065164e+000
4.920270002962142e-002	5.065142e+000
4.930035627962142e-002	5.065129e+000
4.939801252962142e-002	5.065107e+000
4.949566877962142e-002	5.065094e+000
4.959332502962142e-002	5.065072e+000
4.969098127962143e-002	5.065059e+000
4.978863752962143e-002	5.065037e+000
4.988629377962143e-002	5.065024e+000
4.998395002962143e-002	5.065002e+000
5.008160627962143e-002	5.064989e+000
5.017926252962143e-002	5.064968e+000
5.027691877962143e-002	5.064954e+000
5.037457502962144e-002	5.064932e+000
5.047223127962144e-002	5.064919e+000
5.056988752962144e-002	5.064898e+000
5.066754377962144e-002	5.064884e+000
5.076520002962144e-002	5.064863e+000
5.086285627962144e-002	5.064849e+000
5.096051252962144e-002	5.064827e+000
5.105816877962145e-002	5.064814e+000
5.115582502962145e-002	5.064793e+000
5.125348127962145e-002	5.064779e+000
5.135113752962145e-002	5.064758e+000
5.144879377962145e-002	5.064744e+000
5.154645002962145e-002	5.064723e+000
5.164410627962145e-002	5.064710e+000
5.174176252962146e-002	5.064688e+000
5.183941877962146e-002	5.064674e+000
5.203473127962146e-002	5.064640e+000
5.223004377962146e-002	5.064605e+000
5.242535627962146e-002	5.064570e+000
5.271832502962147e-002	5.064513e+000
5.301129377962147e-002	5.064465e+000
5.330426252962148e-002	5.064408e+000
5.359723127962148e-002	5.064360e+000
5.369488752962148e-002	5.064339e+000
5.379254377962148e-002	5.064325e+000
5.389020002962149e-002	5.064304e+000
5.398785627962149e-002	5.064291e+000
5.408551252962149e-002	5.064270e+000
5.418316877962149e-002	5.064262e+000
5.428082502962149e-002	5.064244e+000
5.437848127962149e-002	5.064231e+000
5.447613752962149e-002	5.064209e+000
5.457379377962150e-002	5.064196e+000
5.486676252962150e-002	5.064140e+000
5.515973127962150e-002	5.064092e+000
5.545270002962151e-002	5.064035e+000
5.574566877962151e-002	5.063987e+000
5.603863752962152e-002	5.063931e+000
5.633160627962152e-002	5.063882e+000
5.662457502962152e-002	5.063826e+000
5.691754377962153e-002	5.063777e+000
5.721051252962153e-002	5.063721e+000
5.750348127962154e-002	5.063673e+000
5.779645002962154e-002	5.063617e+000
5.808941877962155e-002	5.063569e+000
5.828473127962155e-002	5.063533e+000
5.857770002962155e-002	5.063477e+000
5.887066877962156e-002	5.063429e+000
5.916363752962156e-002	5.063373e+000
5.945660627962156e-002	5.063324e+000
5.974957502962157e-002	5.063268e+000
6.004254377962157e-002	5.063220e+000
6.033551252962158e-002	5.063163e+000
6.062848127962158e-002	5.063115e+000
6.092145002962159e-002	5.063059e+000
6.121441877962159e-002	5.063011e+000
6.150738752962159e-002	5.062954e+000
6.180035627962160e-002	5.062906e+000
6.189801252962160e-002	5.062885e+000
6.199566877962160e-002	5.062871e+000
6.209332502962160e-002	5.062850e+000
6.212688945688747e-002	5.062848e+000
6.215002898006355e-002	5.062841e+000
6.215926627731108e-002	5.062845e+000
6.216600138774637e-002	5.062842e+000
6.217329445947743e-002	5.062850e+000
6.218001382611611e-002	5.062852e+000
6.218855876663283e-002	5.062872e+000
6.220114624564254e-002	5.062915e+000
6.221236873843367e-002	5.062988e+000
6.222427862807456e-002	5.063082e+000
6.223863109702867e-002	5.063233e+000
6.226214981442268e-002	5.063508e+000
6.228255302185980e-002	5.063772e+000
6.230688939241372e-002	5.064073e+000
6.233431364867757e-002	5.064398e+000
6.237053138964682e-002	5.064767e+000
6.240943102619673e-002	5.065099e+000
6.246500107444984e-002	5.065429e+000
6.251891742904846e-002	5.065618e+000
6.255891058048246e-002	5.065678e+000
6.259101341548395e-002	5.065702e+000
6.262653885445776e-002	5.065703e+000
6.264311136812785e-002	5.065706e+000
6.266218555882146e-002	5.065699e+000
6.267972718310239e-002	5.065700e+000
6.269891449404004e-002	5.065693e+000
6.272336336660800e-002	5.065692e+000
6.275809456834681e-002	5.065682e+000
6.281761112251658e-002	5.065676e+000
6.291526737251657e-002	5.065654e+000
6.301292362251657e-002	5.065640e+000
6.330589237251655e-002	5.065584e+000
6.359886112251653e-002	5.065536e+000
6.389182987251652e-002	5.065479e+000
6.418479862251650e-002	5.065431e+000
6.438011112251649e-002	5.065396e+000
6.457542362251648e-002	5.065361e+000
6.477073612251647e-002	5.065326e+000
6.486839237251646e-002	5.065304e+000
6.496604862251645e-002	5.065291e+000
6.506370487251645e-002	5.065269e+000
6.516136112251644e-002	5.065256e+000
6.525901737251644e-002	5.065234e+000
6.535667362251643e-002	5.065221e+000
6.545432987251643e-002	5.065199e+000
6.555198612251642e-002	5.065186e+000
6.564964237251642e-002	5.065164e+000
6.574729862251641e-002	5.065151e+000
6.584495487251640e-002	5.065129e+000
6.594261112251640e-002	5.065116e+000
6.604026737251639e-002	5.065094e+000
6.613792362251639e-002	5.065081e+000
6.623557987251638e-002	5.065060e+000
6.633323612251638e-002	5.065046e+000
6.643089237251637e-002	5.065024e+000
6.652854862251637e-002	5.065011e+000
6.662620487251636e-002	5.064990e+000
6.672386112251635e-002	5.064976e+000
6.682151737251635e-002	5.064955e+000
6.691917362251634e-002	5.064941e+000
6.701682987251634e-002	5.064919e+000
6.711448612251633e-002	5.064906e+000
6.721214237251633e-002	5.064885e+000
6.730979862251632e-002	5.064871e+000
6.740745487251632e-002	5.064850e+000
6.750511112251631e-002	5.064837e+000
6.760276737251630e-002	5.064815e+000
6.770042362251630e-002	5.064801e+000
6.779807987251629e-002	5.064780e+000
6.789573612251629e-002	5.064766e+000
6.799339237251628e-002	5.064745e+000
6.809104862251628e-002	5.064732e+000
6.818870487251627e-002	5.064710e+000
6.828636112251627e-002	5.064697e+000
6.838401737251626e-002	5.064675e+000
6.848167362251625e-002	5.064662e+000
6.857932987251625e-002	5.064640e+000
6.877464237251624e-002	5.064605e+000
6.896995487251623e-002	5.064570e+000
6.916526737251622e-002	5.064535e+000
6.945823612251620e-002	5.064487e+000
6.975120487251618e-002	5.064431e+000
7.004417362251617e-002	5.064382e+000
7.033714237251615e-002	5.064326e+000
7.043479862251614e-002	5.064312e+000
7.053245487251614e-002	5.064291e+000
7.063011112251613e-002	5.064278e+000
7.072776737251613e-002	5.064257e+000
7.082542362251612e-002	5.064249e+000
7.092307987251612e-002	5.064233e+000
7.102073612251611e-002	5.064220e+000
7.111839237251610e-002	5.064199e+000
7.121604862251610e-002	5.064186e+000
7.131370487251609e-002	5.064164e+000
7.160667362251608e-002	5.064116e+000
7.189964237251606e-002	5.064059e+000
7.219261112251604e-002	5.064011e+000
7.248557987251603e-002	5.063955e+000
7.277854862251601e-002	5.063906e+000
7.307151737251599e-002	5.063850e+000
7.336448612251598e-002	5.063802e+000
7.365745487251596e-002	5.063745e+000
7.395042362251594e-002	5.063697e+000
7.424339237251593e-002	5.063641e+000
7.453636112251591e-002	5.063592e+000
7.482932987251589e-002	5.063536e+000
7.512229862251588e-002	5.063488e+000
7.541526737251586e-002	5.063432e+000
7.570823612251584e-002	5.063383e+000
7.600120487251583e-002	5.063327e+000
7.629417362251581e-002	5.063279e+000
7.658714237251579e-002	5.063222e+000
7.688011112251578e-002	5.063174e+000
7.717307987251576e-002	5.063118e+000
7.746604862251574e-002	5.063070e+000
7.775901737251573e-002	5.063014e+000
7.805198612251571e-002	5.062965e+000
7.834495487251569e-002	5.062909e+000
7.854026737251568e-002	5.062874e+000
7.863792362251568e-002	5.062861e+000
7.873557987251567e-002	5.062839e+000
7.878338865311899e-002	5.062835e+000
7.881409292659207e-002	5.062826e+000
7.882441104222382e-002	5.062830e+000
7.883156361515023e-002	5.062827e+000
7.883813843946118e-002	5.062833e+000
7.884496162955709e-002	5.062835e+000
7.885282894886873e-002	5.062851e+000
7.886448068095085e-002	5.062884e+000
7.887469210488553e-002	5.062943e+000
7.888690136406409e-002	5.063030e+000
7.889962792696328e-002	5.063156e+000
7.891884230636240e-002	5.063369e+000
7.894144495802863e-002	5.063655e+000
7.896581243004290e-002	5.063960e+000
7.899295428947616e-002	5.064290e+000
7.902625631613272e-002	5.064644e+000
7.911380630332164e-002	5.065321e+000
7.917483758431236e-002	5.065575e+000
7.921882663161427e-002	5.065654e+000
7.925141531179024e-002	5.065683e+000
7.928758198359227e-002	5.065686e+000
7.930766981783838e-002	5.065689e+000
7.932802582650346e-002	5.065682e+000
7.934830465304617e-002	5.065683e+000
7.937049720369598e-002	5.065675e+000
7.939962645586526e-002	5.065674e+000
7.944372865431632e-002	5.065662e+000
7.952836625929059e-002	5.065651e+000
7.962602250929059e-002	5.065629e+000
7.991899125929057e-002	5.065581e+000
8.021196000929055e-002	5.065525e+000
8.050492875929054e-002	5.065476e+000
8.079789750929052e-002	5.065419e+000
8.099321000929051e-002	5.065384e+000
8.118852250929050e-002	5.065350e+000
8.138383500929049e-002	5.065314e+000
8.148149125929048e-002	5.065301e+000
8.157914750929048e-002	5.065279e+000
8.167680375929047e-002	5.065266e+000
8.177446000929046e-002	5.065245e+000
8.187211625929046e-002	5.065231e+000
8.196977250929045e-002	5.065209e+000
8.206742875929045e-002	5.065196e+000
8.216508500929044e-002	5.065175e+000
8.226274125929044e-002	5.065161e+000
8.236039750929043e-002	5.065140e+000
8.245805375929043e-002	5.065126e+000
8.255571000929042e-002	5.065104e+000
8.265336625929041e-002	5.065091e+000
8.275102250929041e-002	5.065070e+000
8.284867875929040e-002	5.065056e+000
8.294633500929040e-002	5.065035e+000
8.304399125929039e-002	5.065022e+000
8.314164750929039e-002	5.065000e+000
8.323930375929038e-002	5.064986e+000
8.333696000929038e-002	5.064965e+000
8.343461625929037e-002	5.064951e+000
8.353227250929037e-002	5.064930e+000
8.362992875929036e-002	5.064917e+000
8.372758500929035e-002	5.064895e+000
8.382524125929035e-002	5.064881e+000
8.392289750929034e-002	5.064860e+000
8.402055375929034e-002	5.064847e+000
8.411821000929033e-002	5.064825e+000
8.421586625929033e-002	5.064812e+000
8.431352250929032e-002	5.064790e+000
8.441117875929032e-002	5.064777e+000
8.450883500929031e-002	5.064755e+000
8.460649125929030e-002	5.064742e+000
8.470414750929030e-002	5.064720e+000
8.480180375929029e-002	5.064707e+000
8.489946000929029e-002	5.064685e+000
8.499711625929028e-002	5.064672e+000
8.509477250929028e-002	5.064651e+000
8.519242875929027e-002	5.064637e+000
8.529008500929027e-002	5.064615e+000
8.548539750929025e-002	5.064580e+000
8.568071000929024e-002	5.064546e+000
8.587602250929023e-002	5.064511e+000
8.616899125929022e-002	5.064462e+000
8.646196000929020e-002	5.064406e+000
8.675492875929018e-002	5.064358e+000
8.704789750929017e-002	5.064301e+000
8.714555375929016e-002	5.064288e+000
8.724321000929015e-002	5.064266e+000
8.734086625929015e-002	5.064253e+000
8.743852250929014e-002	5.064235e+000
8.753617875929014e-002	5.064229e+000
8.763383500929013e-002	5.064211e+000
8.773149125929013e-002	5.064198e+000
8.782914750929012e-002	5.064177e+000
8.792680375929012e-002	5.064163e+000
8.802446000929011e-002	5.064142e+000
8.831742875929009e-002	5.064094e+000
8.861039750929008e-002	5.064037e+000
8.890336625929006e-002	5.063989e+000
8.919633500929004e-002	5.063932e+000
8.948930375929003e-002	5.063884e+000
8.978227250929001e-002	5.063828e+000
9.007524125928999e-002	5.063779e+000
9.036821000928998e-002	5.063723e+000
9.066117875928996e-002	5.063675e+000
9.095414750928994e-002	5.063618e+000
9.124711625928993e-002	5.063570e+000
9.154008500928991e-002	5.063514e+000
9.183305375928989e-002	5.063466e+000
9.212602250928988e-002	5.063409e+000
9.241899125928986e-002	5.063361e+000
9.271196000928984e-002	5.063305e+000
9.300492875928983e-002	5.063256e+000
9.329789750928981e-002	5.063200e+000
9.359086625928979e-002	5.063152e+000
9.388383500928978e-002	5.063096e+000
9.417680375928976e-002	5.063047e+000
9.446977250928974e-002	5.062991e+000
9.476274125928973e-002	5.062943e+000
9.505571000928971e-002	5.062887e+000
9.515336625928970e-002	5.062873e+000
9.525102250928970e-002	5.062852e+000
9.534867875928969e-002	5.062839e+000
9.544633500928969e-002	5.062817e+000
9.547972433310978e-002	5.062816e+000
